sep=;
ACCELEROMETER X (m/sÂ²);ACCELEROMETER Y (m/sÂ²);ACCELEROMETER Z (m/sÂ²);GRAVITY X (m/sÂ²);GRAVITY Y (m/sÂ²);GRAVITY Z (m/sÂ²);LINEAR ACCELERATION X (m/sÂ²);LINEAR ACCELERATION Y (m/sÂ²);LINEAR ACCELERATION Z (m/sÂ²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (Î¼T);MAGNETIC FIELD Y (Î¼T);MAGNETIC FIELD Z (Î¼T);ORIENTATION Z (azimuth Â°);ORIENTATION X (pitch Â°);ORIENTATION Y (roll Â°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (Â°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.9316;-11.8479;-2.439;1.7938;-8.4087;-4.7236;-0.3995;1.0987;-3.0163;2.6384;1.9919;0.5795;0.001;-7.91;27.48;28.5;167.35;59.0;-159.21;0.0;999.68;57.863;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;26007;2018-03-09 12:04:06:699
0.5428;-16.504;-3.29;-1.0768;-9.7193;0.7828;-3.9854;3.7917;5.9599;-0.3878;0.145;-0.2492;0.001;-18.17;40.59;16.53;353.95;82.2;53.98;0.0;999.43;56.181;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 17;26507;2018-03-09 12:04:07:199
0.5727;-14.6119;-7.3072;1.0091;-7.2134;-6.5715;1.527;5.3765;2.4787;1.9484;0.7954;-0.2508;0.001;-24.79;38.21;34.47;264.89;47.33;-171.27;0.0;1000.16;57.445;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 17;27006;2018-03-09 12:04:07:698
-3.7631;-16.3426;2.24;-1.6393;-9.6113;1.082;1.956;7.7843;3.5806;0.251;0.5205;0.2778;0.001;-19.03;56.89;9.75;3.75;78.45;56.57;0.0;999.59;61.155;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 17;27507;2018-03-09 12:04:08:199
1.2216;-5.1273;-5.7983;0.1652;-6.6194;-7.2383;4.7257;3.7629;2.0182;1.2916;0.3184;-0.1208;0.001;-19.72;41.49;45.21;268.78;42.44;-178.69;0.0;1000.04;59.335;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 17;28006;2018-03-09 12:04:08:698
-1.3452;-15.0279;1.9839;-1.5286;-9.6326;1.0544;-4.9584;3.2591;2.4221;0.7296;0.9637;0.9351;0.001;-14.44;65.97;9.95;314.49;87.38;107.13;0.0;999.64;59.245;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 17;28507;2018-03-09 12:04:09:199
-2.1135;-0.2863;-3.5932;-0.7258;-6.1516;-7.607;2.1754;-4.7393;-8.1714;-1.1125;-1.5772;-0.0452;0.001;-5.79;37.08;55.46;245.28;38.83;174.55;0.0;999.97;58.893;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 17;29007;2018-03-09 12:04:09:699
-0.3846;-8.9167;-0.3401;-1.0969;-9.7367;0.48;-3.1915;1.909;4.3199;1.3202;0.3196;0.7256;0.001;-8.7;70.65;16.8;333.13;82.99;66.37;0.0;999.54;60.233;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;29506;2018-03-09 12:04:10:198
-1.4065;-5.2301;-0.819;0.0062;-6.9618;-6.9115;1.4009;-3.433;-7.9432;-2.9406;-2.81;-0.9564;0.001;-0.9;42.53;50.27;187.32;66.75;-172.56;0.0;999.81;56.562;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;30007;2018-03-09 12:04:10:699
3.6357;-9.1688;-0.0868;-0.149;-9.8001;-0.4137;-3.1106;-1.6021;0.1597;2.0815;1.1956;1.0634;0.001;-9.16;63.44;29.69;308.08;53.46;-175.06;0.0;999.59;60.524;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 17;30506;2018-03-09 12:04:11:198
